                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1428,                 3.7707,                 1.3143,                0.01905,                 0.9869,                 0.1499,                0.08477,                 1.2659,                 3.0215,                0.90158,             0.00025352,             0.00025352,             0.00025352
                      1,                 1.0449,                 2.6927,                 1.2264,                0.23093,                0.42732,                0.16798,                0.10335,                 1.2597,                  2.448,                  1.182,              0.0005048,              0.0005048,              0.0005048
                      2,                 1.0265,                 2.1166,                 1.2549,                0.18025,                0.66247,                0.25525,                0.15598,                 1.1843,                 2.3988,                 1.1875,             0.00075101,             0.00075101,             0.00075101
                      3,                0.97903,                 1.8836,                 1.2424,                0.28156,                0.70693,                0.23365,                0.16378,                 1.0329,                 2.2345,                 1.0272,             0.00074616,             0.00074616,             0.00074616
                      4,                0.94126,                  1.814,                 1.2205,                0.47292,                0.49478,                0.26295,                0.15517,                 1.1245,                 2.0842,                 1.1756,             0.00074616,             0.00074616,             0.00074616
                      5,                0.92277,                 1.7535,                 1.2045,                 0.4814,                0.56085,                0.33861,                0.20887,                 1.0195,                 1.8161,                 1.1299,             0.00073855,             0.00073855,             0.00073855
                      6,                0.88146,                 1.6887,                 1.1904,                0.34653,                0.67351,                0.34121,                0.20659,                 1.0722,                 1.7379,                 1.1429,             0.00073093,             0.00073093,             0.00073093
                      7,                0.86505,                 1.6774,                 1.1882,                0.36362,                0.63092,                  0.363,                0.24525,                 1.0306,                 1.7035,                 1.3023,             0.00072332,             0.00072332,             0.00072332
                      8,                0.86081,                 1.6618,                 1.1868,                0.31009,                0.47615,                 0.2836,                0.17352,                 1.0618,                 1.9757,                 1.3613,             0.00071571,             0.00071571,             0.00071571
                      9,                 0.8487,                 1.6432,                  1.177,                0.28199,                0.63441,                0.40278,                0.25766,                 1.0094,                 1.6807,                  1.329,              0.0007081,              0.0007081,              0.0007081
                     10,                0.84009,                 1.6006,                 1.1711,                0.36531,                0.65913,                0.41616,                0.28185,                 1.0208,                 1.6244,                  1.222,             0.00070048,             0.00070048,             0.00070048
                     11,                0.82049,                 1.5881,                 1.1615,                0.36174,                0.63353,                0.35571,                0.23324,                0.99842,                 1.7408,                  1.359,             0.00069287,             0.00069287,             0.00069287
                     12,                0.81346,                 1.5805,                 1.1622,                0.53076,                0.55464,                0.44641,                0.28578,                 1.0046,                 1.5046,                 1.3161,             0.00068526,             0.00068526,             0.00068526
                     13,                0.83808,                 1.5708,                 1.1677,                0.26695,                0.72095,                0.41813,                0.27632,                  1.056,                 1.6518,                  1.361,             0.00067764,             0.00067764,             0.00067764
                     14,                0.82488,                  1.548,                 1.1612,                0.41986,                0.55375,                0.39159,                0.23936,                 1.0945,                 1.5726,                 1.4325,             0.00067003,             0.00067003,             0.00067003
                     15,                0.81516,                 1.5151,                 1.1601,                0.37806,                0.65743,                0.46811,                0.31726,                 1.0285,                 1.4832,                 1.2948,             0.00066242,             0.00066242,             0.00066242
                     16,                0.79822,                 1.5028,                 1.1479,                0.28226,                0.67674,                0.43449,                0.28728,                 1.0184,                 1.6007,                 1.2945,              0.0006548,              0.0006548,              0.0006548
                     17,                0.81311,                 1.5113,                  1.155,                0.28913,                0.66274,                0.43841,                0.29635,                0.99894,                 1.5291,                 1.3214,             0.00064719,             0.00064719,             0.00064719
                     18,                0.78243,                 1.4867,                 1.1418,                 0.3498,                0.64185,                0.43928,                0.28635,                 1.0356,                 1.4778,                 1.3508,             0.00063958,             0.00063958,             0.00063958
                     19,                0.79232,                 1.4905,                  1.147,                0.37645,                0.58925,                0.47117,                0.31381,                0.97999,                 1.4431,                 1.3255,             0.00063196,             0.00063196,             0.00063196
                     20,                0.77734,                 1.4931,                 1.1415,                0.28021,                0.63314,                0.43289,                0.29255,                0.94962,                 1.5616,                 1.2712,             0.00062435,             0.00062435,             0.00062435
                     21,                0.78555,                   1.45,                 1.1414,                0.30412,                0.67471,                 0.4352,                0.28681,                 1.0123,                 1.5689,                 1.3263,             0.00061674,             0.00061674,             0.00061674
                     22,                 0.7707,                 1.4662,                 1.1363,                0.31674,                0.61275,                0.44785,                0.29831,                0.94706,                 1.4356,                 1.3276,             0.00060912,             0.00060912,             0.00060912
                     23,                 0.7768,                 1.4682,                 1.1387,                0.32119,                0.65645,                0.45955,                0.30505,                0.95085,                 1.4919,                 1.2748,             0.00060151,             0.00060151,             0.00060151
                     24,                0.78721,                 1.4749,                 1.1412,                0.45117,                0.55702,                0.46104,                 0.3062,                0.98667,                 1.4194,                 1.3295,              0.0005939,              0.0005939,              0.0005939
                     25,                0.77582,                 1.4507,                 1.1356,                0.44145,                0.66038,                0.48562,                0.31969,                  1.039,                 1.4044,                  1.319,             0.00058629,             0.00058629,             0.00058629
                     26,                0.78878,                 1.4595,                 1.1387,                 0.4066,                0.69514,                0.51909,                0.34067,                 1.0074,                 1.2918,                  1.325,             0.00057867,             0.00057867,             0.00057867
                     27,                0.76281,                 1.4396,                 1.1317,                0.35314,                0.59926,                0.46467,                0.31709,                0.98143,                 1.4488,                 1.2853,             0.00057106,             0.00057106,             0.00057106
                     28,                0.76983,                 1.4289,                 1.1324,                0.36608,                0.71449,                0.49988,                0.33744,                0.98361,                 1.3837,                 1.2901,             0.00056345,             0.00056345,             0.00056345
                     29,                0.77496,                 1.4237,                 1.1396,                0.47864,                0.58404,                0.53583,                0.36911,                0.95009,                 1.3181,                  1.284,             0.00055583,             0.00055583,             0.00055583
                     30,                0.76542,                  1.404,                 1.1308,                 0.3616,                 0.7152,                0.48227,                0.32482,                0.99432,                 1.3806,                 1.3135,             0.00054822,             0.00054822,             0.00054822
                     31,                0.76358,                 1.4163,                 1.1348,                 0.3838,                0.65976,                0.51848,                  0.351,                0.98011,                 1.3878,                 1.3193,             0.00054061,             0.00054061,             0.00054061
                     32,                0.76854,                 1.4086,                 1.1348,                0.38362,                0.65548,                0.51244,                0.33901,                 1.0634,                 1.4532,                 1.3835,             0.00053299,             0.00053299,             0.00053299
                     33,                0.75399,                 1.3719,                 1.1262,                0.39099,                0.62394,                0.47763,                0.32534,                  1.025,                 1.4076,                 1.3313,             0.00052538,             0.00052538,             0.00052538
                     34,                0.75368,                 1.3844,                 1.1262,                0.31197,                0.73023,                0.47625,                0.31944,                 1.0258,                 1.4267,                 1.3475,             0.00051777,             0.00051777,             0.00051777
                     35,                0.74266,                 1.3786,                 1.1179,                 0.4747,                0.61517,                0.48641,                0.33286,                0.96923,                 1.3794,                 1.3129,             0.00051015,             0.00051015,             0.00051015
                     36,                0.74185,                 1.3798,                  1.118,                0.42939,                 0.6431,                0.52278,                0.33754,                 1.0287,                 1.3252,                 1.4035,             0.00050254,             0.00050254,             0.00050254
                     37,                 0.7538,                 1.3602,                  1.126,                0.39318,                0.69592,                0.51178,                 0.3498,                0.99326,                 1.3873,                  1.306,             0.00049493,             0.00049493,             0.00049493
                     38,                0.76987,                 1.3634,                 1.1309,                 0.4334,                0.65037,                0.53999,                0.37384,                0.98355,                 1.2955,                 1.2935,             0.00048732,             0.00048732,             0.00048732
                     39,                 0.7502,                 1.3862,                 1.1174,                0.38827,                0.71871,                0.53004,                0.36373,                0.99207,                 1.3025,                 1.2935,              0.0004797,              0.0004797,              0.0004797
                     40,                0.75204,                 1.3716,                 1.1246,                0.40639,                0.70334,                0.54107,                0.36972,                 0.9873,                 1.2289,                 1.3186,             0.00047209,             0.00047209,             0.00047209
                     41,                 0.7504,                 1.3416,                 1.1218,                 0.4193,                 0.7115,                0.52001,                0.35603,                0.99448,                 1.2586,                 1.3178,             0.00046448,             0.00046448,             0.00046448
                     42,                0.74285,                 1.3333,                 1.1193,                0.41226,                0.64687,                0.51229,                0.34945,                 0.9535,                 1.3029,                  1.299,             0.00045686,             0.00045686,             0.00045686
                     43,                0.74023,                 1.3386,                 1.1215,                0.39592,                0.70006,                0.53393,                0.37239,                0.96158,                 1.2115,                 1.2941,             0.00044925,             0.00044925,             0.00044925
                     44,                0.72854,                 1.3361,                 1.1145,                0.38381,                0.74672,                 0.5281,                0.36715,                0.96849,                 1.2446,                 1.2963,             0.00044164,             0.00044164,             0.00044164
                     45,                0.73247,                 1.3366,                 1.1157,                0.41218,                0.71433,                0.51567,                 0.3507,                0.98336,                 1.2885,                 1.3021,             0.00043402,             0.00043402,             0.00043402
                     46,                0.73062,                    1.3,                 1.1106,                0.41301,                0.62555,                0.51024,                0.34255,                0.97714,                 1.3113,                 1.2956,             0.00042641,             0.00042641,             0.00042641
                     47,                0.73023,                 1.3427,                 1.1116,                0.39043,                0.71526,                0.53759,                0.36671,                0.98404,                 1.2629,                 1.3002,              0.0004188,              0.0004188,              0.0004188
                     48,                0.73737,                 1.3313,                  1.114,                0.44508,                0.67003,                0.51773,                0.35406,                0.95785,                 1.2748,                 1.2682,             0.00041118,             0.00041118,             0.00041118
                     49,                0.74044,                 1.3048,                  1.119,                0.47099,                0.65213,                0.55454,                0.38144,                0.96245,                  1.223,                 1.2982,             0.00040357,             0.00040357,             0.00040357
                     50,                0.72553,                 1.3149,                 1.1101,                0.44981,                0.68461,                0.55818,                 0.3826,                0.97804,                 1.2239,                 1.3099,             0.00039596,             0.00039596,             0.00039596
                     51,                0.72554,                  1.305,                  1.112,                0.40699,                0.72327,                0.55346,                0.37841,                 1.0047,                 1.2481,                 1.3445,             0.00038835,             0.00038835,             0.00038835
                     52,                0.68794,                 1.2804,                 1.0995,                0.46085,                0.67751,                0.56203,                0.38753,                0.96942,                 1.2473,                 1.2993,             0.00038073,             0.00038073,             0.00038073
                     53,                0.72927,                 1.3082,                 1.1145,                0.39382,                0.72796,                 0.5561,                 0.3771,                0.97459,                 1.2288,                 1.3079,             0.00037312,             0.00037312,             0.00037312
                     54,                0.73428,                 1.2922,                  1.109,                0.46928,                 0.6862,                0.54656,                0.36716,                0.98714,                 1.1725,                 1.3336,             0.00036551,             0.00036551,             0.00036551
                     55,                0.73696,                 1.2963,                 1.1113,                0.43596,                  0.726,                0.57267,                0.38869,                0.96568,                  1.191,                  1.308,             0.00035789,             0.00035789,             0.00035789
                     56,                0.71229,                 1.2722,                 1.1019,                  0.459,                0.67199,                0.56212,                0.39263,                0.95712,                 1.1988,                 1.2754,             0.00035028,             0.00035028,             0.00035028
                     57,                0.71255,                  1.274,                 1.1035,                0.47706,                0.69252,                0.56256,                0.40279,                0.96169,                 1.2112,                 1.2734,             0.00034267,             0.00034267,             0.00034267
                     58,                0.71895,                 1.2546,                 1.1075,                0.50195,                0.63957,                 0.5603,                0.39609,                0.96321,                 1.2275,                  1.278,             0.00033505,             0.00033505,             0.00033505
                     59,                0.72366,                 1.2784,                 1.1101,                0.46637,                0.67725,                0.54541,                0.37512,                0.95329,                 1.2246,                 1.2917,             0.00032744,             0.00032744,             0.00032744
                     60,                0.71431,                 1.2563,                 1.1013,                0.53747,                0.59726,                0.56946,                0.38045,                0.95553,                 1.2291,                 1.3019,             0.00031983,             0.00031983,             0.00031983
